city,avg_tw,state,half_month
"Orlando FL",9.554181545972824,FL,1.3
"Key West FL",10.09536019153893,FL,1.7
"McAllen TX",8.138616210315377,TX,1.7
"Miami FL",9.919032950885594,FL,1.7
"Phoenix AZ",10.05768267228268,AZ,1.7
"San Juan PR",1.609374988824129,PR,1.7
"Tucson AZ",9.593874793557916,AZ,1.7
"Tampa FL",8.653500698010127,FL,2.3
"Baton Rouge LA",9.14435261413455,LA,3.3
"Gulfport MS",10.238513142367204,MS,3.3
"Honolulu HI",8.88925524155299,HI,3.3
"Houston TX",9.291789619624614,TX,3.3
"Jackson MS",8.775391796727975,MS,3.3
"Las Vegas NV",9.855659930904705,NV,3.3
"Austin TX",9.013937930576503,TX,3.7
"Dallas TX",9.020709820091724,TX,3.7
"Fresno CA",9.596598223783076,CA,3.7
"Sacramento CA",9.776584831532091,CA,3.7
"San Antonio TX",9.436118377372622,TX,3.7
"Tallahassee FL",9.502961291000247,FL,3.7
"Birmingham AL",9.371348463495572,AL,4.3
"Charleston SC",9.680868806441625,SC,4.3
"Montgomery AL",9.076884603003661,AL,4.3
"Savannah GA",9.984533423185349,GA,4.3
"Fayetteville AR",9.296220806241035,AR,4.7
"Memphis TN",9.434103865424792,TN,4.7
"Oklahoma City OK",9.136107861995697,OK,4.7
"Tulsa OK",8.754748225212097,OK,4.7
"Idaho Falls ID",8.343948289255302,ID,5.3
"Lincoln NE",8.21221439441045,NE,5.3
"Billings MT",8.696660730987787,MT,5.7
"Boise ID",9.621333764865994,ID,5.7
"Carson City NV",8.094146653078496,NV,5.7
"Cheyenne WY",8.345680736005306,WY,5.7
"Denver CO",8.192837581969798,CO,5.7
"Grand Junction CO",8.844159313477576,CO,5.7
"Los Angeles CA",11.122691635042429,CA,5.7
"Pierre SD",8.92384496005252,SD,5.7
"Portland OR",10.751025037840009,OR,5.7
"Salem OR",10.88103231601417,OR,5.7
"Salt Lake City UT",8.83508338034153,UT,5.7
"San Diego CA",10.569279659539461,CA,5.7
"San Jose CA",11.11442455649376,CA,5.7
"Santa Barbara CA",12.326994385570288,CA,5.7
"Sioux Falls SD",8.955094788223505,SD,5.7
"Spokane WA",9.57346417196095,WA,5.7
"Bismarck ND",9.409256837765376,ND,6.3
"Buffalo NY",10.960980588197708,NY,6.3
"Burlington VT",10.154641857743263,VT,6.3
"Casper WY",8.075210813681284,WY,6.3
"Helena MT",8.507600739598274,MT,6.3
"Montpelier VT",9.346514198184014,VT,6.7
"Fairbanks AK",10.622204907735188,AK,7.3
"Anchorage AK",11.633333206176758,AK,8.3
"Duluth MN",10.26770582596461,MN,8.3
"San Francisco CA",10.930217409133911,CA,8.3
"Taos NM",9.419634517033895,NM,8.3
"Augusta ME",10.080584422747295,ME,9.3
"Seattle WA",10.178728473186492,WA,9.3
"Albany NY",10.020955000817775,NY,9.7
"Annapolis MD",10.34109260837237,MD,9.7
"Baltimore MD",10.887654163440068,MD,9.7
"Barnstable MA",11.70169179836909,MA,9.7
"Boston MA",10.809377382198969,MA,9.7
"Charlottesville VA",10.881410868962606,VA,9.7
"Chicago IL",10.53822675148646,IL,9.7
"Cleveland OH",10.622469721237819,OH,9.7
"Columbus OH",9.408351188898086,OH,9.7
"Concord NH",9.874651275078456,NH,9.7
"Davenport IA",9.26476455628872,IA,9.7
"Des Moines IA",8.850172064701717,IA,9.7
"Detroit MI",10.068536923329036,MI,9.7
"Dover DE",10.058174457152685,DE,9.7
"Fargo ND",9.758958618839582,ND,9.7
"Grand Rapids MI",10.109722741444905,MI,9.7
"Green Bay WI",9.903960222005844,WI,9.7
"Greensboro NC",9.82394075418512,NC,9.7
"Harrisburg PA",10.819668072462083,PA,9.7
"Hartford CT",10.50640616218249,CT,9.7
"Lansing MI",9.447128655513128,MI,9.7
"Madison WI",9.894889747103056,WI,9.7
"Milwaukee WI",10.687890507777531,WI,9.7
"Minneapolis MN",10.06461214919885,MN,9.7
"Olympia WA",10.570615617434184,WA,9.7
"Omaha NE",8.370435239871343,NE,9.7
"Pittsburgh PA",10.501671874523163,PA,9.7
"Portland ME",9.913170207043489,ME,9.7
"Providence RI",10.796933136383693,RI,9.7
"Rochester NY",10.408594791094462,NY,9.7
"Santa Fe NM",10.243262306849163,NM,9.7
"Trenton NJ",10.200937867164612,NJ,9.7
"Washington DC",10.249764162302018,DC,9.7
"Albuquerque NM",9.732977388302485,NM,10.3
"Charleston WV",9.257425983746847,WV,10.3
"Charlotte NC",9.702191185951232,NC,10.3
"Cincinnati OH",9.330594090993205,OH,10.3
"Frankfort KY",9.351416894296806,KY,10.3
"Indianapolis IN",9.199831073979537,IN,10.3
"Jefferson City MO",8.981044285496075,MO,10.3
"Kansas City MO",9.012842348217964,MO,10.3
"Knoxville TN",9.589172392586867,TN,10.3
"Louisville KY",9.81925460025668,KY,10.3
"Nashville TN",9.217329850792884,TN,10.3
"New York NY",10.541146242618561,NY,10.3
"Philadelphia PA",9.978032344579697,PA,10.3
"Raleigh NC",9.45459623436133,NC,10.3
"Richmond VA",9.180670595169067,VA,10.3
"Springfield IL",8.802841446797053,IL,10.3
"St Louis MO",9.0677841146787,MO,10.3
"Topeka KS",8.917835970719656,KS,10.3
"Wichita KS",8.500187971194585,KS,10.3
"Atlanta GA",9.588339069858193,GA,10.7
"Columbia SC",9.58915536198765,SC,10.7
"Little Rock AR",9.31082526780665,AR,10.7
"Lubbock TX",8.346242395229638,TX,10.7
"Norfolk VA",9.212154569104314,VA,10.7
"St George UT",9.68069804739207,UT,10.7
"El Paso TX",9.583390735586484,TX,11.3
"New Orleans LA",9.821423343817393,LA,11.3
"Riverside CA",9.562447387973467,CA,11.7
"Jacksonville FL",10.328826389710109,FL,12.3
